timestamp,pace_min_per_km,elevation_meters,heart_rate_bpm
2024-10-25 17:23:03,5.0,52.8,136
2024-10-25 17:23:12,5.0,52.8,136
2024-10-25 17:23:14,5.0,52.8,136
2024-10-25 17:23:17,5.0,52.8,136
2024-10-25 17:23:19,5.0,52.8,136
2024-10-25 17:23:21,5.0,52.8,136
2024-10-25 17:23:22,5.0,52.8,136
2024-10-25 17:23:24,5.0,52.8,136
2024-10-25 17:23:27,5.0,52.8,134
2024-10-25 17:23:30,5.0,52.8,134
2024-10-25 17:23:35,5.0,52.8,134
2024-10-25 17:23:37,5.0,52.8,134
2024-10-25 17:23:40,5.0,52.8,134
2024-10-25 17:23:42,5.0,52.8,134
2024-10-25 17:23:45,5.0,52.8,134
2024-10-25 17:23:47,5.0,52.8,134
2024-10-25 17:23:50,5.0,52.8,134
2024-10-25 17:23:53,5.0,52.8,134
2024-10-25 17:23:55,5.0,52.8,134
2024-10-25 17:23:58,5.0,52.8,134
2024-10-25 17:24:00,5.0,52.8,134
2024-10-25 17:24:03,5.0,52.8,134
2024-10-25 17:24:05,5.0,52.8,134
2024-10-25 17:24:08,5.0,52.8,134
2024-10-25 17:24:10,5.0,52.8,134
2024-10-25 17:24:13,5.0,52.8,134
2024-10-25 17:24:15,5.0,52.8,134
2024-10-25 17:24:17,5.0,52.8,115
2024-10-25 17:24:18,5.0,52.8,115
2024-10-25 17:24:19,5.0,52.8,115
2024-10-25 17:24:21,5.0,52.8,115
2024-10-25 17:24:24,5.0,52.8,114
2024-10-25 17:24:26,5.0,52.8,114
2024-10-25 17:24:28,5.0,52.8,114
2024-10-25 17:24:29,5.0,52.8,115
2024-10-25 17:24:31,5.0,52.8,115
2024-10-25 17:24:33,5.0,52.8,115
2024-10-25 17:24:35,5.0,52.8,115
2024-10-25 17:24:36,5.0,52.8,115
2024-10-25 17:24:38,5.0,52.8,115
2024-10-25 17:24:41,5.0,52.8,117
2024-10-25 17:24:44,5.0,52.8,117
2024-10-25 17:24:46,5.0,52.8,117
2024-10-25 17:24:47,5.0,52.8,120
2024-10-25 17:24:48,5.0,52.8,120
2024-10-25 17:24:49,5.0,52.8,120
2024-10-25 17:24:50,5.0,52.8,127
2024-10-25 17:24:51,5.0,52.8,127
2024-10-25 17:24:52,0.7445212428410999,52.7,127
2024-10-25 17:24:53,6.1419612797827785,52.7,127
2024-10-25 17:24:54,5.9785549332521875,52.6,127
2024-10-25 17:24:55,4.938348800330204,51.8,127
2024-10-25 17:24:56,5.0,51.8,127
2024-10-25 17:24:57,5.0,51.8,127
2024-10-25 17:24:58,5.0,51.8,127
2024-10-25 17:24:59,5.0,51.8,127
2024-10-25 17:25:01,5.0,51.8,127
2024-10-25 17:25:04,5.0,51.8,127
2024-10-25 17:25:06,5.0,51.8,127
2024-10-25 17:25:07,5.0,51.8,128
2024-10-25 17:25:09,5.0,51.8,128
2024-10-25 17:25:12,5.0,51.8,128
2024-10-25 17:25:14,5.0,51.8,128
2024-10-25 17:25:17,5.0,51.8,128
2024-10-25 17:25:18,5.0,51.8,126
2024-10-25 17:25:19,5.0,51.8,126
2024-10-25 17:25:22,0.7590283091935496,51.7,126
2024-10-25 17:25:23,9.367933395189967,51.7,127
2024-10-25 17:25:24,9.360019465973156,51.7,127
2024-10-25 17:25:26,1.5113072430940542,51.4,127
2024-10-25 17:25:27,12.97528173405087,51.4,127
2024-10-25 17:25:28,2.593248775676769,51.3,128
2024-10-25 17:25:29,5.448752282264092,51.3,128
2024-10-25 17:25:30,5.448752392331757,51.2,128
2024-10-25 17:25:31,5.4487524974724995,51.2,128
2024-10-25 17:25:32,5.448752605066774,51.2,128
2024-10-25 17:25:33,5.448752715154254,51.1,128
2024-10-25 17:25:34,5.4487528202751365,51.1,128
2024-10-25 17:25:35,5.44875293037252,51.1,128
2024-10-25 17:25:36,5.448753035473552,51.0,128
2024-10-25 17:25:37,5.448753143107461,51.0,128
2024-10-25 17:25:38,5.448753253165152,51.0,128
2024-10-25 17:25:39,5.448753358305833,50.9,128
2024-10-25 17:25:40,5.448753468373426,50.9,128
2024-10-25 17:25:41,5.448753573514092,50.8,128
2024-10-25 17:25:42,5.448753682344982,50.8,128
2024-10-25 17:25:43,5.448753789959014,50.8,128
2024-10-25 17:25:44,5.448753896326428,50.7,128
2024-10-25 17:25:45,5.448754005157297,50.7,128
2024-10-25 17:25:46,3.694266181363981,50.6,128
2024-10-25 17:25:47,8.222316190420477,50.6,130
2024-10-25 17:25:48,2.7281023937261786,50.5,130
2024-10-25 17:25:49,7.04696266957676,50.5,130
2024-10-25 17:25:50,6.747824170517999,50.5,130
2024-10-25 17:25:51,3.235854708072099,50.4,130
2024-10-25 17:25:52,8.4004700069513,50.4,130
2024-10-25 17:25:53,2.874167228481864,50.3,130
2024-10-25 17:25:54,6.785774869582509,50.3,130
2024-10-25 17:25:55,6.764791657889522,50.3,130
2024-10-25 17:25:56,3.224120812857088,50.3,130
2024-10-25 17:25:57,7.677378029969454,50.3,130
2024-10-25 17:25:58,7.233977909327458,50.3,130
2024-10-25 17:25:59,3.6471356550488445,50.2,130
2024-10-25 17:26:00,10.02109824570471,50.2,130
2024-10-25 17:26:01,2.6280195061455376,50.2,130
2024-10-25 17:26:02,6.492947911190364,50.1,129
2024-10-25 17:26:03,6.474558595845894,50.1,129
2024-10-25 17:26:04,3.0564372829278357,50.1,129
2024-10-25 17:26:05,9.760397553972515,50.0,129
